# experiments/coevolution/mitigation_priors.csv
# Pre-committed prior matrix for H6 adversarial co-evolution loop
# Generated: 2026-05-14 by Round-3 Subagent B (Claude Opus 4.7, 1M ctx)
# Lock policy: this file is hash-pinned and committed BEFORE OSF amendment timestamp.
# Source documents (read first by author):
#   - docs/research-notes/ml-adversary-models.md §6 (Layer x Adversary effects table)
#   - probes/inventory.yml (probes #1-#60)
#   - docs/research-notes/literature-extensions.md (probes #61-#75 F4/F5)
#   - plans/10-h6-adversarial-coevolution-addendum.md §4.1 (M01-M08) and §5.1 (#76-#86)
#   - plans/02-spoofstack.md (Layer L0-L6 definitions)
#
# §1 Schema
# Columns:
#   probe_id    : integer, matches probes/inventory.yml IDs (#1-#75 baseline + #76-#86 P_ext)
#   probe_name  : human-readable identifier
#   probe_layer : L0|L0b|L1|L2|L3|L4|L5|L6 — primary layer the probe attacks
#   M01_red, M01_det : (reduction-prior, detection-prior) for M01 = Build-Property catalog rotation
#   M02_red, M02_det : M02 = MediaDrm UID family enforcement
#   M03_red, M03_det : M03 = Keybox rotation (<=3 cleared, F22-gated)
#   M04_red, M04_det : M04 = Sensor-trace replay diversity (1->3->5 source devices)
#   M05_red, M05_det : M05 = LTE-egress ASN diversity (1->3 ASNs)
#   M06_red, M06_det : M06 = DenyList expansion over DetectorLab fixture-package set (NOT live third-party apps; per addendum §9 Scope-Lock)
#   M07_red, M07_det : M07 = VBMeta-chain coherence (custom AVB tree)
#   M08_red, M08_det : M08 = /proc/version forge consistency (kernel string <-> Build.FINGERPRINT)
#
# Per-cell scalar values are STRICTLY from {0.0, 0.1, 0.4, 0.7}.
#   0.0 = orthogonal (mitigation does not affect probe)
#   0.1 = LOW   (collateral / cross-probe coherence contribution only)
#   0.4 = MED   (indirect/parent-layer hiding)
#   0.7 = HIGH  (direct forge of probe's signal OR probe is designed to catch this exact mitigation)
#
# A reduction value of 0.7 means the spoofer mitigation closes 70% of the probe's detection gap.
# A detection value of 0.7 means the detector probe has 70% confidence of catching this mitigation's
# spoof artifact at the moment of application. Reductions and detections are NOT constrained to sum.
#
# §2 Derivation Rule (pre-committed)
#
# 1. Read ml-adversary-models.md §6 Layer x Adversary table to identify which LAYERS each mitigation
#    primarily affects (see "primary layer" mapping below).
# 2. For each (probe, mitigation) cell:
#    a. If probe.layer is the primary target of mitigation.layer:
#       - reduction = HIGH (0.7) if mitigation directly forges that probe's signal
#       - reduction = MED  (0.4) if mitigation indirectly hides the signal via parent-layer
#       - reduction = LOW  (0.1) if mitigation creates cross-probe coherence support only
#    b. If probe.layer is orthogonal to mitigation.layer: reduction = 0.0
# 3. Detection prior is the probe's expected catch-rate against THIS mitigation's spoof artifact:
#    - HIGH (0.7) if the probe is designed to detect this exact mitigation type
#    - MED  (0.4) if the probe is sensitive to the parent layer
#    - LOW  (0.1) if the probe is collateral-sensitive
#    - 0.0 if orthogonal
# 4. (reduction, detection) per cell are INDEPENDENTLY elicited (not constrained to sum).
#    Consistency check: cells with reduction > 0.4 AND detection > 0.4 are flagged "high-tension"
#    in the sidecar list at §5 of this file — these are where greedy spoofer and detector both
#    claim the cell, and where the trajectory will diverge most.
#
# §3 Tie-breaking convention (pre-committed)
#
# At argmax tie (multiple mitigations or probes with identical aggregated scores), break by
# ascending ID order (M01 before M02; probe #76 before #77). Document any tie occurrence in
# the run log; ties in THIS priors-CSV are pre-committed (not a runtime researcher degree of
# freedom). The CSV is hash-pinned; any modification after OSF lock invalidates the iteration
# and forces re-baseline.
#
# §4 Mitigation -> primary-layer mapping (used in derivation)
#
#   M01 Build-Property catalog rotation        -> L1 (forges Build.* properties + parameter-axis preset)
#   M02 MediaDrm UID family enforcement        -> L1+L2 (enforces SoC family coherence across Build x MediaDRM)
#   M03 Keybox rotation (<=3 cleared)          -> L3 (rotates among cleared keyboxes for Play Integrity STRONG)
#   M04 Sensor-trace replay diversity          -> L5 (rotates among 1->3->5 source-device traces)
#   M05 LTE-egress ASN diversity               -> L6 (rotates among 1->3 mobile-carrier ASNs)
#   M06 DenyList expansion 70%->90%->99%       -> L4 (hides root/automation packages from DenyList-checked DetectorLab fixture packages — NO live third-party app names; lab-fixture only)
#   M07 VBMeta-chain coherence (custom AVB)    -> L0b+L1 (forges boot-chain hash + bootloader_state coherence)
#   M08 /proc/version forge consistency        -> L1+L4 (forces kernel string <-> Build.FINGERPRINT coherence)
#
# §5 Data rows (86 unique probes x 16 prior values)
#
# Note on probe count: Round-3 task brief specified "75 baseline + 12 P_ext = 87". However,
# the H6 addendum §5.1 lists probe #75 (cpu_frequency_signature, F31 pilot-gated) as the
# FIRST element of P_ext, AND probes/inventory.yml has the baseline running #1-#74 with
# #75 added per literature-extensions.md as F31. To avoid duplicate probe_id rows (which
# would corrupt the argmax over probes in §5.3 of the addendum), #75 appears EXACTLY
# ONCE with probe_layer L0. Total unique probe_ids: 86 (75 baseline #1-#75 + 11 P_ext
# #76-#86). This is a pre-committed disambiguation; reviewer guidance is to treat
# #75 as a member of both the baseline-at-k=0 sample AND the P_ext-eligible set
# (since the addendum §5.1 explicitly lists it in P_ext column "Held out at k=0").
probe_id,probe_name,probe_layer,M01_red,M01_det,M02_red,M02_det,M03_red,M03_det,M04_red,M04_det,M05_red,M05_det,M06_red,M06_det,M07_red,M07_det,M08_red,M08_det
1,build_fingerprint,L1,0.7,0.7,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7,0.4
2,play_integrity,L3,0.1,0.4,0.1,0.1,0.7,0.7,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.0,0.0
3,su_detection,L4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.1,0.4
4,qemu_artifacts,L1,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7,0.7
5,ip_asn,L6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0
6,keystore_attestation,L3,0.0,0.1,0.1,0.4,0.7,0.7,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.4,0.0,0.0
7,build_tags_type,L1,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4
8,xposed_lsposed,L4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.1,0.1
9,model_brand_manufacturer,L1,0.7,0.7,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.4
10,installed_apps,L4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.1,0.1
11,android_id,L2,0.1,0.1,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,imei_serial,L2,0.1,0.1,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,bootloader,L1,0.4,0.4,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1,0.1
14,selinux,L4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.1,0.4
15,wifi_mac,L2,0.0,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,gaid,L2,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0
17,gsf_id,L2,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0
18,vpn_proxy,L6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0
19,developer_options,L4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.1,0.1
20,timezone_locale_mismatch,L1,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0
21,sim_iccid,L2,0.1,0.1,0.4,0.1,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0
22,carrier_mccmnc,L2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0
23,screen_resolution,L1,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
24,accelerometer_gyro,L5,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,network_type,L6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0
26,gpu_renderer,L1,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.4
27,cpu_abi,L1,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7,0.7
28,board_hardware,L1,0.7,0.7,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7,0.4
29,mediadrm,L2,0.1,0.4,0.7,0.7,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
30,proc_version,L0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.7,0.7
31,bluetooth_mac,L2,0.0,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,wifi_ssid_bssid,L2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0
33,battery_level,L1,0.4,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,battery_temperature,L1,0.4,0.4,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,charging_state,L1,0.4,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
